,prompt,completion
452,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Total | ( | for | six | wickets | ) | 278

###

", O | O | O | O | O | O | O***END***
453,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Fall | of | wickets | : | 1-64 | 2-85 | 3-116 | 4-205 | 5-248 | 6-273

###

", O | O | O | O | O | O | O | O | O | O***END***
454,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

To | bat | : | R. | Croft | , | D. | Cork | , | A. | Mullally

###

", O | O | O | B-PER | I-PER | O | B-PER | I-PER | O | B-PER | I-PER***END***
455,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Bowling | ( | to | date | ) | : | Wasim | Akram | 25-8-61-1 | , | Waqar | Younis

###

", O | O | O | O | O | O | B-PER | I-PER | O | O | B-PER | I-PER***END***
456,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

20-6-70-2 | , | Mohammad | Akram | 12-1-41-1 | , | Mushtaq | Ahmed | 27-5-78-2 | ,

###

", O | O | B-PER | I-PER | O | O | B-PER | I-PER | O | O***END***
457,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Aamir | Sohail | 6-1-17-0

###

", B-PER | I-PER | O***END***
458,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Pakistan | : | Aamir | Sohail | , | Saeed | Anwar | , | Ijaz | Ahmed | ,

###

", B-LOC | O | B-PER | I-PER | O | B-PER | I-PER | O | B-PER | I-PER | O***END***
459,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Inzamam-ul-Haq | , | Salim | Malik | , | Asif | Mujtaba | , | Wasim | Akram | , | Moin

###

", B-PER | O | B-PER | I-PER | O | B-PER | I-PER | O | B-PER | I-PER | O | B-PER***END***
460,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Khan | , | Mushtaq | Ahmed | , | Waqar | Younis | , | Mohammad | Akam

###

", B-PER | O | B-PER | I-PER | O | B-PER | I-PER | O | B-PER | I-PER***END***
461,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

SOCCER | - | FERGUSON | BACK | IN | SCOTTISH | SQUAD | AFTER | 20 | MONTHS | .

###

", O | O | B-PER | O | O | B-MISC | O | O | O | O | O***END***
462,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

GLASGOW | 1996-08-22

###

", B-LOC | O***END***
463,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Everton | 's | Duncan | Ferguson | , | who | scored | twice | against | Manchester | United | on | Wednesday | , | was | picked | on | Thursday | for | the | Scottish | squad | after | a | 20-month | exile | .

###

", B-ORG | O | B-PER | I-PER | O | O | O | O | O | B-ORG | I-ORG | O | O | O | O | O | O | O | O | O | B-MISC | O | O | O | O | O | O***END***
464,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Glasgow | Rangers | striker | Ally | McCoist | , | another | man | in | form | after | two | hat-tricks | in | four | days | , | was | also | named | for | the | August | 31 | World | Cup | qualifier | against | Austria | in | Vienna | .

###

", B-ORG | I-ORG | O | B-PER | I-PER | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-MISC | I-MISC | O | O | B-LOC | O | B-LOC | O***END***
465,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Ferguson | , | who | served | six | weeks | in | jail | in | late | 1995 | for | head-butting | an | opponent | , | won | the | last | of | his | five | Scotland | caps | in | December | 1994 | .

###

", B-PER | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-LOC | O | O | O | O | O***END***
466,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Scotland | manager | Craig | Brown | said | on | Thursday | : | "" | I | 've | watched | Duncan | Ferguson | in | action | twice | recently | and | he | 's | bang | in | form | .

###

", B-LOC | O | B-PER | I-PER | O | O | O | O | O | O | O | O | B-PER | I-PER | O | O | O | O | O | O | O | O | O | O | O***END***
467,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Ally | McCoist | is | also | in | great | scoring | form | at | the | moment | . | ""

###

", B-PER | I-PER | O | O | O | O | O | O | O | O | O | O | O***END***
468,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Celtic | 's | Jackie | McNamara | , | who | did | well | with | last | season | 's | successful | under-21 | team | , | earns | a | call-up | to | the | senior | squad | .

###

", B-ORG | O | B-PER | I-PER | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
469,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

CRICKET | - | ENGLAND | 100-2 | AT | LUNCH | ON | FIRST | DAY | OF | THIRD | TEST | .

###

", O | O | B-LOC | O | O | O | O | O | O | O | O | O | O***END***
470,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

LONDON | 1996-08-22

###

", B-LOC | O***END***
471,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

England | were | 100 | for | two | at | lunch | on | the | first | day | of | the | third | and | final | test | against | Pakistan | at | The | Oval | on | Thursday | .

###

", B-LOC | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-LOC | O | B-LOC | I-LOC | O | O | O***END***
472,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

SOCCER | - | KEANE | SIGNS | FOUR-YEAR | CONTRACT | WITH | MANCHESTER | UNITED | .

###

", O | O | B-PER | O | O | O | O | B-LOC | I-LOC | O***END***
473,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

LONDON | 1996-08-22

###

", B-LOC | O***END***
474,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Ireland | midfielder | Roy | Keane | has | signed | a | new | four-year | contract | with | English | league | and | F.A. | Cup | champions | Manchester | United | .

###

", B-LOC | O | B-PER | I-PER | O | O | O | O | O | O | O | B-MISC | O | O | B-MISC | I-MISC | O | B-ORG | I-ORG | O***END***
475,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

"" | Roy | agreed | a | new | deal | before | last | night | 's | game | against | Everton | and | we | are | delighted | , | "" | said | United | manager | Alex | Ferguson | on | Thursday | .

###

", O | B-PER | O | O | O | O | O | O | O | O | O | O | B-ORG | O | O | O | O | O | O | O | B-ORG | O | B-PER | I-PER | O | O | O***END***
476,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

TENNIS | - | RESULTS | AT | CANADIAN | OPEN | .

###

", O | O | O | O | B-MISC | I-MISC | O***END***
477,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

TORONTO | 1996-08-21

###

", B-LOC | O***END***
478,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Results | from | the | Canadian | Open

###

", O | O | O | B-MISC | I-MISC***END***
479,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

tennis | tournament | on | Wednesday | ( | prefix | number | denotes

###

", O | O | O | O | O | O | O | O***END***
480,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

seeding | ) | :

###

", O | O | O***END***
481,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Second | round

###

", O | O***END***
482,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Daniel | Nestor | ( | Canada | ) | beat | 1 | - | Thomas | Muster | ( | Austria | ) | 6-3 | 7-5

###

", B-PER | I-PER | O | B-LOC | O | O | O | O | B-PER | I-PER | O | B-LOC | O | O | O***END***
483,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Mikael | Tillstrom | ( | Sweden | ) | beat | 2 | - | Goran | Ivanisevic | ( | Croatia | )

###

", B-PER | I-PER | O | B-LOC | O | O | O | O | B-PER | I-PER | O | B-LOC | O***END***
484,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

6-7 | ( | 3-7 | ) | 6-4 | 6-4

###

", O | O | O | O | O | O***END***
485,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

3 | - | Wayne | Ferreira | ( | South | Africa | ) | beat | Jiri | Novak | ( | Czech

###

", O | O | B-PER | I-PER | O | B-LOC | I-LOC | O | O | B-PER | I-PER | O | B-LOC***END***
486,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Republic | ) | 7-5 | 6-3

###

", B-LOC | O | O | O***END***
487,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

4 | - | Marcelo | Rios | ( | Chile | ) | beat | Kenneth | Carlsen | ( | Denmark | ) | 6-3 | 6-2

###

", O | O | B-PER | I-PER | O | B-LOC | O | O | B-PER | I-PER | O | B-LOC | O | O | O***END***
488,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

6 | - | MaliVai | Washington | ( | U.S. | ) | beat | Alex | Corretja | ( | Spain | ) | 6-4

###

", O | O | B-PER | I-PER | O | B-LOC | O | O | B-PER | I-PER | O | B-LOC | O | O***END***
489,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

6-2

###

", O***END***
490,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

7 | - | Todd | Martin | ( | U.S. | ) | beat | Renzo | Furlan | ( | Italy | ) | 7-6 | ( | 7-3 | ) | 6-3

###

", O | O | B-PER | I-PER | O | B-LOC | O | O | B-PER | I-PER | O | B-LOC | O | O | O | O | O | O***END***
491,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Mark | Philippoussis | ( | Australia | ) | beat | 8 | - | Marc | Rosset

###

", B-PER | I-PER | O | B-LOC | O | O | O | O | B-PER | I-PER***END***
492,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

( | Switzerland | ) | 6-3 | 3-6 | 7-6 | ( | 8-6 | )

###

", O | B-LOC | O | O | O | O | O | O | O***END***
493,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

9 | - | Cedric | Pioline | ( | France | ) | beat | Gregory | Carraz | ( | France | ) | 7-6

###

", O | O | B-PER | I-PER | O | B-LOC | O | O | B-PER | I-PER | O | B-LOC | O | O***END***
494,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

( | 7-1 | ) | 6-4

###

", O | O | O | O***END***
495,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Patrick | Rafter | ( | Australia | ) | beat | 11 | - | Alberto | Berasategui

###

", B-PER | I-PER | O | B-LOC | O | O | O | O | B-PER | I-PER***END***
496,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

( | Spain | ) | 6-1 | 6-2

###

", O | B-LOC | O | O | O***END***
497,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Petr | Korda | ( | Czech | Republic | ) | beat | 12 | - | Francisco | Clavet | ( | Spain | )

###

", B-PER | I-PER | O | B-LOC | I-LOC | O | O | O | O | B-PER | I-PER | O | B-LOC | O***END***
498,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

6-3 | 6-4

###

", O | O***END***
499,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Daniel | Vacek | ( | Czech | Republic | ) | beat | 13 | - | Jason | Stoltenberg

###

", B-PER | I-PER | O | B-LOC | I-LOC | O | O | O | O | B-PER | I-PER***END***
500,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

( | Australia | ) | 5-7 | 7-6 | ( | 7-1 | ) | 7-6 | ( | 13-11 | )

###

", O | B-LOC | O | O | O | O | O | O | O | O | O | O***END***
501,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Todd | Woodbridge | ( | Australia | beat | Sebastien | Lareau | ( | Canada | ) | 6-3

###

", B-PER | I-PER | O | B-LOC | O | B-PER | I-PER | O | B-LOC | O | O***END***
502,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

1-6 | 6-3

###

", O | O***END***
503,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Alex | O'Brien | ( | U.S. | ) | beat | Byron | Black | ( | Zimbabwe | ) | 7-6 | ( | 7-2 | ) | 6-2

###

", B-PER | I-PER | O | B-LOC | O | O | B-PER | I-PER | O | B-LOC | O | O | O | O | O | O***END***
504,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Bohdan | Ulihrach | ( | Czech | Republic | ) | beat | Andrea | Gaudenzi | ( | Italy | )

###

", B-PER | I-PER | O | B-LOC | I-LOC | O | O | B-PER | I-PER | O | B-LOC | O***END***
505,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

6-3 | 4-6 | 6-1

###

", O | O | O***END***
506,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Tim | Henman | ( | Britain | ) | beat | Chris | Woodruff | ( | U.S. | ) | , | walkover

###

", B-PER | I-PER | O | B-LOC | O | O | B-PER | I-PER | O | B-LOC | O | O | O***END***
507,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

CRICKET | - | MILLNS | SIGNS | FOR | BOLAND | .

###

", O | O | B-PER | O | O | B-ORG | O***END***
508,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

CAPE | TOWN | 1996-08-22

###

", B-LOC | I-LOC | O***END***
509,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

South | African | provincial | side | Boland | said | on | Thursday | they | had | signed | Leicestershire | fast | bowler | David | Millns | on | a | one | year | contract | .

###

", B-MISC | I-MISC | O | O | B-ORG | O | O | O | O | O | O | B-ORG | O | O | B-PER | I-PER | O | O | O | O | O | O***END***
510,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Millns | , | who | toured | Australia | with | England | A | in | 1992/93 | , | replaces | former | England | all-rounder | Phillip | DeFreitas | as | Boland | 's | overseas | professional | .

###

", B-MISC | O | O | O | B-LOC | O | B-LOC | O | O | O | O | O | O | B-LOC | O | B-PER | I-PER | O | B-ORG | O | O | O | O***END***
511,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

SOCCER | - | EUROPEAN | CUP | WINNERS | ' | CUP | RESULTS | .

###

", O | O | B-MISC | I-MISC | I-MISC | I-MISC | I-MISC | O | O***END***
512,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

TIRANA | 1996-08-22

###

", B-LOC | O***END***
513,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Results | of | European | Cup | Winners | '

###

", O | O | B-MISC | I-MISC | I-MISC | I-MISC***END***
514,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Cup | qualifying | round | , | second | leg | soccer | matches | on | Thursday | :

###

", B-MISC | O | O | O | O | O | O | O | O | O | O***END***
515,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

In | Tirana | : | Flamurtari | Vlore | ( | Albania | ) | 0 | Chemlon | Humenne

###

", O | B-LOC | O | B-ORG | I-ORG | O | B-LOC | O | O | B-ORG | I-ORG***END***
516,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

( | Slovakia | ) | 2 | ( | halftime | 0-0 | )

###

", O | B-LOC | O | O | O | O | O | O***END***
517,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Scorers | : | Lubarskij | ( | 50th | minute | ) | , | Valkucak | ( | 54th | )

###

", O | O | B-PER | O | O | O | O | O | B-PER | O | O | O***END***
518,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Attendance | : | 5,000

###

", O | O | O***END***
519,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Chemlon | Humenne | win | 3-0 | on | aggregate

###

", B-ORG | I-ORG | O | O | O | O***END***
520,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

In | Bistrita | : | Gloria | Bistrita | ( | Romania | ) | 2 | Valletta | ( | Malta | ) | 1

###

", O | B-LOC | O | B-ORG | I-ORG | O | B-LOC | O | O | B-LOC | O | B-LOC | O | O***END***
521,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

( | 1-1 | )

###

", O | O | O***END***
522,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Scorers | :

###

", O | O***END***
523,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Gloria | Bistrita | - | Ilie | Lazar | ( | 32nd | ) | , | Eugen | Voica | ( | 84th | )

###

", B-ORG | I-ORG | O | B-PER | I-PER | O | O | O | O | B-PER | I-PER | O | O | O***END***
524,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Valletta | - | Gilbert | Agius | ( | 24th | )

###

", B-LOC | O | B-PER | I-PER | O | O | O***END***
525,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Attendance | : | 8,000

###

", O | O | O***END***
526,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Gloria | Bistrita | win | 4-2 | on | aggregate | .

###

", B-ORG | I-ORG | O | O | O | O | O***END***
527,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

In | Chorzow | : | Ruch | Chorzow | ( | Poland | ) | 5 | Llansantffraid | ( | Wales | ) | 0

###

", O | B-LOC | O | B-ORG | I-ORG | O | B-LOC | O | O | B-ORG | O | B-LOC | O | O***END***
528,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

( | 1-0 | )

###

", O | O | O***END***
529,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Scorers | : | Arkadiusz | Bak | ( | 1st | and | 55th | ) | , | Arwel | Jones | ( | 47th | ,

###

", O | O | B-PER | I-PER | O | O | O | O | O | O | B-PER | I-PER | O | O | O***END***
530,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

own | goal | ) | , | Miroslav | Bak | ( | 62nd | and | 63rd | )

###

", O | O | O | O | B-PER | I-PER | O | O | O | O | O***END***
531,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Attendance | : | 6,500

###

", O | O | O***END***
532,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Ruch | Chorzow | win | 6-1 | on | aggregate

###

", B-ORG | I-ORG | O | O | O | O***END***
533,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

In | Larnaca | : | AEK | Larnaca | ( | Cyprus | ) | 5 | Kotaik | Abovyan | ( | Armenia | )

###

", O | B-LOC | O | B-ORG | I-ORG | O | B-LOC | O | O | B-ORG | I-ORG | O | B-LOC | O***END***
534,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

0 | ( | 2-0 | )

###

", O | O | O | O***END***
535,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Scorers | : | Zoran | Kundic | ( | 28th | ) | , | Klimis | Alexandrou | ( | 41st | ) | ,

###

", O | O | B-PER | I-PER | O | O | O | O | B-PER | I-PER | O | O | O | O***END***
536,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Milenko | Kovasevic | ( | 60th | , | penalty | ) | , | Goran | Koprinovic | ( | 82nd | ) | ,

###

", B-PER | I-PER | O | O | O | O | O | O | B-PER | I-PER | O | O | O | O***END***
537,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Pavlos | Markou | ( | 84th | )

###

", B-PER | I-PER | O | O | O***END***
538,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Attendance | : | 5,000

###

", O | O | O***END***
539,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

AEK | Larnaca | win | 5-1 | on | aggregate

###

", B-ORG | I-ORG | O | O | O | O***END***
540,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

In | Siauliai | : | Kareda | Siauliai | ( | Lithuania | ) | 0 | Sion

###

", O | B-LOC | O | B-ORG | I-ORG | O | B-LOC | O | O | B-ORG***END***
541,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

( | Switzerland | ) | 0

###

", O | B-LOC | O | O***END***
542,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Attendance | : | 5,000

###

", O | O | O***END***
543,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Sion | win | 4-2 | on | agrregate | .

###

", B-ORG | O | O | O | O | O***END***
544,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

In | Vinnytsya | :

###

", O | B-LOC | O***END***
545,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Nyva | Vinnytsya | ( | Ukraine | ) | 1 | Tallinna | Sadam | ( | Estonia | ) | 0 | ( | 0-0 | )

###

", B-ORG | I-ORG | O | B-LOC | O | O | B-ORG | I-ORG | O | B-LOC | O | O | O | O | O***END***
546,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Attendance | : | 3,000

###

", O | O | O***END***
547,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Aggregate | score | 2-2 | .

###

", O | O | O | O***END***
548,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Nyva | qualified | on | away | goals | rule | .

###

", B-ORG | O | O | O | O | O | O***END***
549,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

In | Bergen | : | Brann | ( | Norway | ) | 2 | Shelbourne | ( | Ireland | ) | 1 | ( | 1-1 | )

###

", O | B-LOC | O | B-ORG | O | B-LOC | O | O | B-ORG | O | B-LOC | O | O | O | O | O***END***
550,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Scorers | :

###

", O | O***END***
551,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Brann | - | Mons | Ivar | Mjelde | ( | 10th | ) | , | Jan | Ove | Pedersen | ( | 72nd | )

###

", B-ORG | O | B-PER | I-PER | I-PER | O | O | O | O | B-PER | I-PER | I-PER | O | O | O***END***
552,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Shelbourne | - | Mark | Rutherford | ( | 5th | )

###

", B-ORG | O | B-PER | I-PER | O | O | O***END***
553,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Attendance | : | 2,189

###

", O | O | O***END***
554,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Brann | win | 5-2 | on | aggregate

###

", B-ORG | O | O | O | O***END***
555,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

In | Sofia | : | Levski | Sofia | ( | Bulgaria | ) | 1 | Olimpija | ( | Slovenia | ) | 0

###

", O | B-LOC | O | B-ORG | I-ORG | O | B-LOC | O | O | B-ORG | O | B-LOC | O | O***END***
556,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

( | 0-0 | )

###

", O | O | O***END***
557,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Scorer | : | Ilian | Simeonov | ( | 58th | )

###

", O | O | B-PER | I-PER | O | O | O***END***
