completion,prompt
" They: None
can: None
use: None
up: Date
to: Date
8: Date
weeks: Date
with: None
their: None
new: None
employer: Organization
if: None
they: None
’: None
re: None
eligible: None
.: None

###","They can use up to 8 weeks with their new employer if they ’ re eligible .

###

"
" It: None
does: None
not: None
matter: None
which: None
country: Location
you: None
go: None
to: None
.: None

###","It does not matter which country you go to .

###

"
" The: None
rules: None
in: None
this: None
situation: None
should: None
be: None
outlined: None
in: None
the: None
employment: Form
contract: Form
company: Form
handbook: Form
or: None
intranet: None
.: None

###","The rules in this situation should be outlined in the employment contract company handbook or intranet .

###

"
" If: None
you: None
’: None
re: None
disabled: None
or: None
you: None
have: None
a: None
health: State
condition: State
You: None
may: None
be: None
able: None
to: None
get: None
extra: None
support: None
through: None
an: None
Access: None
to: None
Work: None
grant: Finance
.: None

###","If you ’ re disabled or you have a health condition You may be able to get extra support through an Access to Work grant .

###

"
" Academies: Organization
must: None
teach: None
a: None
broad: None
and: None
balanced: None
curriculum: None
including: None
English: None
maths: None
and: None
science: None
.: None

###","Academies must teach a broad and balanced curriculum including English maths and science .

###

"
" You: None
must: None
tell: None
Companies: Organization
House: Organization
all: None
other: None
changes: None
within: Date
21: Date
days: Date
.: None

###","You must tell Companies House all other changes within 21 days .

###

"
" You: None
may: None
also: None
be: None
able: None
to: None
get: None
Industrial: Finance
Injuries: Finance
Disablement: Finance
Benefit: Finance
(: None
IIDB: Finance
): None
.: None

###","You may also be able to get Industrial Injuries Disablement Benefit ( IIDB ) .

###

"
" You: None
must: None
follow: None
specific: None
rules: None
if: None
you: None
want: None
to: None
evict: None
tenants: Person
.: None

###","You must follow specific rules if you want to evict tenants .

###

"
" You: None
can: None
no: None
longer: None
pay: None
at: None
the: None
Post: Organization
Office: Organization
.: None

###","You can no longer pay at the Post Office .

###

"
" Isle: None
of: None
Man: None
National: Location
Insurance: Location
office: Location
nationalinsurance: None
.: None
itd: None
@: None
gov: None
.: None
im: None
You: None
can: None
also: None
write: None
to: None
the: None
office: None
.: None

###","Isle of Man National Insurance office nationalinsurance . itd @ gov . im You can also write to the office .

###

"
" You: None
’: None
ll: None
be: None
offered: None
support: None
based: None
on: None
your: None
needs: None
which: None
may: None
include: None
a: None
grant: Finance
to: None
help: None
cover: None
the: None
costs: None
of: None
practical: None
support: None
in: None
the: None
workplace: Location
.: None

###","You ’ ll be offered support based on your needs which may include a grant to help cover the costs of practical support in the workplace .

###

"
" You: None
might: None
get: None
a: None
fine: Finance
if: None
you: None
rent: None
your: None
property: Misc
to: None
someone: Person
who: None
doesn: None
’: None
t: None
have: None
the: None
right: State
to: State
rent: State
.: None

###","You might get a fine if you rent your property to someone who doesn ’ t have the right to rent .

###

"
" Up: None
to: None
4: None
executors: Person
can: None
be: None
named: None
on: None
the: None
application: Form
.: None

###","Up to 4 executors can be named on the application .

###

"
" You: None
must: None
try: None
to: None
settle: None
a: None
dispute: None
about: None
a: None
high: None
hedge: None
informally: None
before: None
the: None
council: Organization
can: None
intervene: None
.: None

###","You must try to settle a dispute about a high hedge informally before the council can intervene .

###

"
" Contact: None
the: None
Section: Organization
95: Organization
casework: Organization
team: Organization
if: None
you: None
’: None
re: None
an: None
asylum: State
seeker: State
.: None

###","Contact the Section 95 casework team if you ’ re an asylum seeker .

###

"
" You: None
can: None
also: None
renew: None
or: None
update: None
your: None
child: Person
’: None
s: None
membership: State
.: None

###","You can also renew or update your child ’ s membership .

###

"
" If: None
you: None
live: None
in: None
Wales: None
your: None
agency: Organization
can: None
refer: None
you: None
to: None
the: None
National: Organization
Adoption: Organization
Service: Organization
for: Organization
Wales: Organization
.: None

###","If you live in Wales your agency can refer you to the National Adoption Service for Wales .

###

"
" This: None
is: None
called: None
the: None
Local: Finance
Housing: Finance
Allowance: Finance
shared: Misc
accommodation: Misc
rate: Misc
(: Misc
SAR: Misc
): Misc
.: None

###","This is called the Local Housing Allowance shared accommodation rate ( SAR ) .

###

"
" If: None
your: None
course: None
starts: None
on: None
or: None
after: None
1: Date
August: Date
2016: Date
You: None
can: None
apply: None
for: None
up: None
to: None
4: None
loans: Finance
and: None
you: None
can: None
get: None
more: None
than: None
one: None
at: None
the: None
same: None
time: None
.: None

###","If your course starts on or after 1 August 2016 You can apply for up to 4 loans and you can get more than one at the same time .

###

"
" You: None
must: None
be: None
the: None
owner: Person
occupier: Person
of: None
a: None
residential: Location
agricultural: Location
or: Location
commercial: Location
property: Location
.: None

###","You must be the owner occupier of a residential agricultural or commercial property .

###

"
" This: None
means: None
you: None
do: None
not: None
have: None
to: None
include: None
them: None
in: None
your: None
end: Form
-: Form
of: Form
-: Form
year: Form
reports: Form
.: None

###","This means you do not have to include them in your end - of - year reports .

###

"
" If: None
you: None
do: None
not: None
have: None
a: None
UK: Form
passport: Form
(: None
or: None
it: State
has: State
expired: State
): None
send: None
your: None
original: None
birth: Form
or: Form
adoption: Form
certificate: Form
using: None
the: None
certificate: Form
form: Form
.: None

###","If you do not have a UK passport ( or it has expired ) send your original birth or adoption certificate using the certificate form .

###

"
" The: None
smallest: None
repayment: None
you: None
can: None
make: None
is: None
10: None
%: None
of: None
the: None
market: None
value: None
of: None
your: None
home: Location
.: None

###","The smallest repayment you can make is 10 % of the market value of your home .

###

"
" Excluded: None
tenancies: None
or: None
licences: None
If: None
you: None
live: None
with: None
a: None
lodger: Person
and: None
share: None
rooms: None
with: None
them: None
you: None
’: None
ll: None
often: None
have: None
an: None
excluded: None
tenancy: None
or: None
licence: None
.: None

###","Excluded tenancies or licences If you live with a lodger and share rooms with them you ’ ll often have an excluded tenancy or licence .

###

"
" Rate: None
and: None
length: None
of: None
statutory: None
lay: Finance
-: Finance
off: Finance
pay: Finance
You: None
’: None
re: None
entitled: None
to: None
guarantee: None
pay: None
during: None
lay: None
off: None
or: None
short: None
-: None
time: None
working: None
.: None

###","Rate and length of statutory lay - off pay You ’ re entitled to guarantee pay during lay off or short - time working .

###

"
" You: None
can: None
get: None
PIP: Finance
whether: None
you: None
’: None
re: None
working: None
or: None
not: None
.: None

###","You can get PIP whether you ’ re working or not .

###

"
" What: None
happens: None
next: None
You: None
’: None
ll: None
get: None
a: None
letter: Contact
from: None
Companies: Organization
House: Organization
to: None
let: None
you: None
know: None
if: None
you: None
’: None
ve: None
filled: None
in: None
the: None
form: None
correctly: None
.: None

###","What happens next You ’ ll get a letter from Companies House to let you know if you ’ ve filled in the form correctly .

###

"
" However: None
the: None
other: None
parent: Person
must: None
include: None
you: None
when: None
making: None
important: None
decisions: None
about: None
their: None
lives: None
.: None

###","However the other parent must include you when making important decisions about their lives .

###

"
" Once: None
your: None
child: Person
is: None
added: State
to: State
your: State
membership: State
you: None
can: None
both: None
use: None
the: None
UK: Misc
and: Misc
EU: Misc
passport: Misc
lanes: None
together: None
.: None

###","Once your child is added to your membership you can both use the UK and EU passport lanes together .

###

"
" If: None
you: None
accept: None
a: None
payment: Finance
under: None
this: None
scheme: None
you: None
won: None
’: None
t: None
be: None
able: None
to: None
make: None
a: None
claim: Finance
through: None
the: None
courts: Organization
.: None

###","If you accept a payment under this scheme you won ’ t be able to make a claim through the courts .

###

"
" Or: None
you: None
can: None
send: None
form: Form
VAT652: Form
to: None
the: None
VAT: Organization
Error: Organization
Correction: Organization
Team: Organization
.: None

###","Or you can send form VAT652 to the VAT Error Correction Team .

###

"
" You: None
can: None
also: None
send: None
any: None
other: None
evidence: Form
to: None
support: None
your: None
case: None
to: None
the: None
tribunal: Event
.: None

###","You can also send any other evidence to support your case to the tribunal .

###

"
" Ask: None
for: None
consignee: Form
returns: Form
in: None
writing: None
if: None
you: None
do: None
not: None
get: None
them: None
–: None
you: None
need: None
them: None
to: None
keep: None
records: None
.: None

###","Ask for consignee returns in writing if you do not get them – you need them to keep records .

###

"
" You: None
can: None
check: None
this: None
on: None
the: None
Certification: Person
Officer: Person
’: None
s: None
website: None
.: None

###","You can check this on the Certification Officer ’ s website .

###

"
" If: None
you: None
’: None
re: None
the: None
family: Person
member: Person
of: None
an: None
EU: Organization
EEA: Organization
or: None
Swiss: None
citizen: Person
at: None
the: None
time: None
they: None
stopped: None
working: None
you: None
may: None
also: None
be: None
eligible: None
for: None
settled: None
status: None
.: None

###","If you ’ re the family member of an EU EEA or Swiss citizen at the time they stopped working you may also be eligible for settled status .

###

"
" Your: None
companion: Person
cannot: None
be: None
disciplined: State
for: None
supporting: None
you: None
.: None

###","Your companion cannot be disciplined for supporting you .

###

"
" However: None
guidance: None
suggests: None
a: None
minimum: None
of: None
16ºC: None
or: None
13ºC: None
if: None
employees: Person
are: None
doing: None
physical: None
work: None
.: None

###","However guidance suggests a minimum of 16ºC or 13ºC if employees are doing physical work .

###

"
" It: None
’: None
s: None
paid: None
to: None
the: None
Scottish: Organization
Government: Organization
.: None

###","It ’ s paid to the Scottish Government .

###

"
" The: None
child: Person
named: None
on: None
the: None
certificate: None
may: None
be: None
able: None
to: None
apply: None
for: None
a: None
correction: None
if: None
their: None
parents: Person
are: None
not: None
available: None
.: None

###","The child named on the certificate may be able to apply for a correction if their parents are not available .

###

"
" Your: None
‘: None
nearest: None
relative: Person
’: None
will: None
usually: None
be: None
told: None
the: None
date: None
of: None
the: None
hearing: Event
-: None
they: None
can: None
attend: None
unless: None
you: None
object: None
.: None

###","Your ‘ nearest relative ’ will usually be told the date of the hearing - they can attend unless you object .

###

"
" You: None
might: None
get: None
the: None
extra: None
amount: None
if: None
you: None
start: None
caring: None
for: None
another: None
child: Person
depending: None
on: None
when: None
they: None
were: None
born: None
and: None
how: None
many: None
children: Person
you: None
have: None
.: None

###","You might get the extra amount if you start caring for another child depending on when they were born and how many children you have .

###

"
" Penalties: None
Large: None
shops: Location
that: None
open: None
when: None
they: None
’: None
re: None
not: None
supposed: None
to: None
can: None
be: None
fined: Finance
.: None

###","Penalties Large shops that open when they ’ re not supposed to can be fined .

###

"
" Start: Event
and: None
end: None
dates: None
The: None
money: Finance
is: None
usually: None
paid: None
while: State
you: State
’: State
re: State
on: State
leave: State
.: None

###","Start and end dates The money is usually paid while you ’ re on leave .

###

"
" You: None
cannot: None
give: None
adultery: Event
as: None
a: None
reason: None
if: None
you: None
lived: None
together: None
as: None
a: None
couple: Person
for: None
more: Date
than: Date
6: Date
months: Date
after: None
you: None
found: None
out: None
about: None
it: None
.: None

###","You cannot give adultery as a reason if you lived together as a couple for more than 6 months after you found out about it .

###

"
" Your: None
employer: Person
might: None
provide: None
tax: None
free: None
childcare: None
support: None
including: None
childcare: None
vouchers: None
.: None

###","Your employer might provide tax free childcare support including childcare vouchers .

###

"
" Use: None
the: None
guidance: Contact
notes: Contact
if: None
you: None
need: None
help: None
.: None

###","Use the guidance notes if you need help .

###

"
" If: None
you: None
’: None
re: None
asked: None
to: None
provide: None
a: None
reference: None
check: None
the: None
worker: Person
or: None
ex: None
-: None
staff: None
member: Person
is: None
happy: None
for: None
you: None
to: None
do: None
so: None
.: None

###","If you ’ re asked to provide a reference check the worker or ex - staff member is happy for you to do so .

###

"
" Find: None
an: None
accredited: None
energy: Organization
assessor: Organization
Only: None
an: None
accredited: None
energy: Organization
assessor: Organization
can: None
inspect: None
your: None
air: None
conditioning: None
system: None
.: None

###","Find an accredited energy assessor Only an accredited energy assessor can inspect your air conditioning system .

###

"
" This: None
also: None
applies: None
to: None
exhibitions: Finance
bursaries: Finance
and: None
other: None
educational: None
endowments: None
.: None

###","This also applies to exhibitions bursaries and other educational endowments .

###

"
" It: None
needs: None
to: None
be: None
big: None
and: None
strong: None
enough: None
to: None
carry: None
all: None
your: None
documents: Contact
.: None

###","It needs to be big and strong enough to carry all your documents .

###

"
" If: None
you: None
’: None
re: None
the: None
nominated: None
partner: Person
in: None
a: None
partnership: None
you: None
must: None
also: None
keep: None
records: None
for: None
the: None
partnership: None
.: None

###","If you ’ re the nominated partner in a partnership you must also keep records for the partnership .

###

"
" You: None
’: None
re: None
a: None
waste: Misc
producer: Misc
or: None
holder: Misc
You: None
should: None
get: None
consignee: Form
returns: Form
every: None
quarter: None
from: None
the: None
consignee: None
dealing: None
with: None
your: None
hazardous: None
waste: None
.: None

###","You ’ re a waste producer or holder You should get consignee returns every quarter from the consignee dealing with your hazardous waste .

###

"
" Further: None
information: None
Get: None
advice: None
and: None
case: None
studies: None
from: None
Social: None
Enterprise: None
UK: None
Inspire2Enterprise: Organization
and: None
UnLtd: Organization
or: None
download: None
guidance: Form
on: Form
business: Form
structures: Form
for: Form
social: Form
enterprises: Form
.: None

###","Further information Get advice and case studies from Social Enterprise UK Inspire2Enterprise and UnLtd or download guidance on business structures for social enterprises .

###

"
" The: None
deadline: Date
for: None
applying: None
for: None
a: None
PAYE: Contact
Settlement: Contact
Agreement: Contact
(: None
PSA: None
): None
is: None
5: Date
July: Date
following: None
the: None
first: None
tax: None
year: None
it: None
applies: None
to: None
.: None

###","The deadline for applying for a PAYE Settlement Agreement ( PSA ) is 5 July following the first tax year it applies to .

###

"
" If: None
you: None
do: None
not: None
have: None
a: None
user: None
ID: None
you: None
can: None
create: None
one: None
when: None
you: None
report: Contact
and: None
pay: None
.: None

###","If you do not have a user ID you can create one when you report and pay .

###

"
" Usually: None
this: None
is: None
when: None
they: None
have: None
a: None
full: None
contractual: None
health: Misc
and: Misc
safety: Misc
policy: Misc
which: None
should: None
be: None
in: None
the: None
contract: None
or: None
staff: Form
handbook: Form
.: None

###","Usually this is when they have a full contractual health and safety policy which should be in the contract or staff handbook .

###

"
" Framework: None
agreements: None
usually: None
last: None
for: None
a: None
maximum: None
of: None
4: None
years: None
.: None

###","Framework agreements usually last for a maximum of 4 years .

###

"
" The: None
tribunal: Event
will: None
automatically: None
look: None
at: None
your: None
case: None
again: None
after: Date
a: Date
certain: Date
period: Date
of: Date
time: Date
.: None

###","The tribunal will automatically look at your case again after a certain period of time .

###

"
" Check: None
if: None
an: None
agent: Person
or: None
representative: Person
is: None
registered: None
with: None
the: None
Office: Organization
of: Organization
the: Organization
Immigration: Organization
Services: Organization
Commissioner: Organization
(: Organization
OISC: Organization
): Organization
.: None

###","Check if an agent or representative is registered with the Office of the Immigration Services Commissioner ( OISC ) .

###

"
" If: None
there: None
are: None
any: None
mistakes: None
download: None
and: None
fill: None
in: None
form: None
COP9: Form
with: None
the: None
details: None
and: None
send: None
it: None
to: None
the: None
court: Organization
within: Date
21: Date
days: Date
of: None
receiving: None
the: None
court: Event
order: Event
.: None

###","If there are any mistakes download and fill in form COP9 with the details and send it to the court within 21 days of receiving the court order .

###

"
" Letting: None
staff: Person
see: None
their: None
records: None
Your: None
staff: Person
have: None
the: None
right: None
to: None
ask: None
for: None
a: None
copy: None
of: None
the: None
information: None
you: None
hold: None
about: None
them: None
.: None

###","Letting staff see their records Your staff have the right to ask for a copy of the information you hold about them .

###

"
" Night: Person
workers: Person
must: None
not: None
work: None
more: None
than: None
an: None
average: None
of: None
8: None
hours: None
in: None
a: None
24: None
-: None
hour: None
period: None
.: None

###","Night workers must not work more than an average of 8 hours in a 24 - hour period .

###

"
" You: None
might: None
not: None
qualify: None
if: None
your: None
local: None
council: Organization
is: None
paying: None
towards: None
the: None
child: Person
’: None
s: None
accommodation: None
or: None
maintenance: None
-: None
contact: None
the: None
Child: Organization
Benefit: Organization
Office: Organization
to: None
find: None
out: None
.: None

###","You might not qualify if your local council is paying towards the child ’ s accommodation or maintenance - contact the Child Benefit Office to find out .

###

"
" Contact: None
HMRC: Organization
if: None
you: None
think: None
your: None
tax: Form
code: Form
is: None
wrong: None
.: None

###","Contact HMRC if you think your tax code is wrong .

###

"
" You: None
’: None
ll: None
need: None
to: None
add: None
your: None
certificate: Form
of: Form
sponsorship: Form
reference: Form
number: Form
to: None
your: None
application: Form
form: Form
-: None
you: None
can: None
only: None
use: None
it: None
once: None
.: None

###","You ’ ll need to add your certificate of sponsorship reference number to your application form - you can only use it once .

###

"
" Take: None
the: None
agreement: None
to: None
your: None
local: None
county: Organization
court: Organization
or: None
family: Organization
proceedings: Organization
court: Organization
where: None
it: None
can: None
be: None
signed: None
and: None
witnessed: None
.: None

###","Take the agreement to your local county court or family proceedings court where it can be signed and witnessed .

###

"
" If: None
you: None
’: None
ve: None
claimed: None
Universal: Finance
Credit: Finance
before: None
You: None
’: None
ll: None
usually: None
need: None
to: None
make: None
a: None
new: None
claim: None
online: Contact
by: None
signing: None
in: None
to: None
your: None
account: Form
.: None

###","If you ’ ve claimed Universal Credit before You ’ ll usually need to make a new claim online by signing in to your account .

###

"
" Do: None
not: None
pay: None
your: None
Capital: Form
Gains: Form
Tax: Form
bill: Form
until: None
you: None
’: None
ve: None
received: Event
your: Event
payment: Event
reference: Event
number: Event
.: None

###","Do not pay your Capital Gains Tax bill until you ’ ve received your payment reference number .

###

"
" If: None
the: None
accommodation: None
is: None
optional: None
it: None
only: None
counts: None
as: None
a: None
cost: None
if: None
the: None
worker: Person
uses: None
it: None
.: None

###","If the accommodation is optional it only counts as a cost if the worker uses it .

###

"
" You: None
will: None
need: None
this: None
to: None
start: None
work: None
as: None
a: None
childminder: Person
.: None

###","You will need this to start work as a childminder .

###

"
" Check: None
the: None
amount: None
of: None
bursary: Event
you: None
might: None
be: None
entitled: None
to: None
with: None
the: None
NHS: Organization
Student: Form
Bursary: Form
Estimate: Form
Calculator: Form
.: None

###","Check the amount of bursary you might be entitled to with the NHS Student Bursary Estimate Calculator .

###

"
" For: None
example: None
a: None
care: Person
warden: Person
who: None
has: None
to: None
live: None
on: None
site: None
has: None
their: None
accommodation: Misc
linked: None
to: None
their: None
job: None
.: None

###","For example a care warden who has to live on site has their accommodation linked to their job .

###

"
" You: None
can: None
ask: None
for: None
a: None
male: None
or: None
female: None
interviewer: Person
but: None
your: None
choice: None
might: None
not: None
always: None
be: None
available: None
.: None

###","You can ask for a male or female interviewer but your choice might not always be available .

###

"
" Contact: None
a: None
solicitor: Person
or: None
your: None
nearest: None
county: Organization
court: Organization
if: None
you: None
’: None
re: None
not: None
sure: None
where: None
to: None
send: None
your: None
application: Form
.: None

###","Contact a solicitor or your nearest county court if you ’ re not sure where to send your application .

###

"
" Company: Person
directors: Person
run: None
limited: None
companies: Organization
on: None
behalf: None
of: None
shareholders: Person
.: None

###","Company directors run limited companies on behalf of shareholders .

###

"
" The: None
trust: Organization
will: None
tell: None
you: None
the: None
amount: Finance
you: None
need: None
to: None
report: Contact
-: None
this: None
will: None
normally: None
be: None
more: None
than: None
the: None
amount: Finance
you: None
actually: None
receive: None
.: None

###","The trust will tell you the amount you need to report - this will normally be more than the amount you actually receive .

###

"
" Contact: None
Jobcentre: Organization
Plus: Organization
to: None
find: None
out: None
about: None
opportunities: None
that: None
can: None
improve: None
your: None
chances: None
of: None
finding: None
work: None
including: None
work: None
experience: None
volunteering: None
and: None
work: Event
trials: Event
.: None

###","Contact Jobcentre Plus to find out about opportunities that can improve your chances of finding work including work experience volunteering and work trials .

###

"
" You: None
must: None
pay: Finance
the: None
Corporation: Organization
Tax: Organization
due: None
and: None
file: None
your: None
tax: Finance
return: Finance
.: None

###","You must pay the Corporation Tax due and file your tax return .

###

"
" Discrimination: None
at: None
work: None
Employees: Person
should: None
talk: None
to: None
their: None
employer: Organization
first: None
to: None
try: None
and: None
sort: None
out: None
the: None
problem: None
informally: None
.: None

###","Discrimination at work Employees should talk to their employer first to try and sort out the problem informally .

###

"
" If: None
you: None
’: None
re: None
insolvent: None
You: None
’: None
ll: None
usually: None
be: None
personally: None
liable: None
for: None
your: None
business: State
debts: State
.: None

###","If you ’ re insolvent You ’ ll usually be personally liable for your business debts .

###

"
" Building: Location
302: Location
is: None
on: None
the: None
right: None
hand: None
side: None
of: None
the: None
road: None
.: None

###","Building 302 is on the right hand side of the road .

###

"
" She: None
’: None
s: None
been: None
promised: None
that: None
she: None
’: None
ll: None
be: State
taken: State
on: State
as: None
an: None
employee: Person
after: Date
3: Date
months: Date
.: None

###","She ’ s been promised that she ’ ll be taken on as an employee after 3 months .

###

"
" The: None
landlord: Person
will: None
send: None
you: None
a: None
reminder: None
if: None
you: None
do: None
not: None
reply: None
to: None
the: None
offer: None
.: None

###","The landlord will send you a reminder if you do not reply to the offer .

###

"
" You: None
can: None
also: None
contact: None
HMRC: Organization
to: None
get: None
a: None
copy: None
in: None
the: None
post: Contact
.: None

###","You can also contact HMRC to get a copy in the post .

###

"
" VAT: Finance
If: None
your: None
company: Organization
is: None
VAT: Misc
-: Misc
registered: Misc
you: None
’: None
ll: None
need: None
to: None
account: None
for: None
VAT: None
on: None
the: None
items: None
you: None
give: None
away: None
.: None

###","VAT If your company is VAT - registered you ’ ll need to account for VAT on the items you give away .

###

"
" You: None
can: None
write: None
to: None
the: None
PAYE: Organization
Employer: Organization
Office: Organization
to: None
ask: None
for: None
a: None
repayment: Finance
if: None
you: None
cannot: None
set: None
off: None
the: None
payments: None
against: None
the: None
current: None
year: None
’: None
s: None
liabilities: None
.: None

###","You can write to the PAYE Employer Office to ask for a repayment if you cannot set off the payments against the current year ’ s liabilities .

###

"
" You: None
’: None
ll: None
need: None
to: None
pay: None
the: None
Self: Form
Assessment: Form
bill: Form
by: None
the: None
deadline: None
.: None

###","You ’ ll need to pay the Self Assessment bill by the deadline .

###

"
" Who: None
to: None
contact: None
if: None
you: None
have: None
further: None
questions: None
You: None
can: None
call: None
The: Organization
Pension: Organization
Service: Organization
if: None
you: None
have: None
more: None
questions: None
about: None
the: Misc
over: Misc
80: Misc
pension: Misc
.: None

###","Who to contact if you have further questions You can call The Pension Service if you have more questions about the over 80 pension .

###

"
" Making: None
the: None
payment: Finance
You: None
’: None
ll: None
need: None
to: None
give: None
a: None
17: None
-: None
character: None
payment: Form
reference: Form
.: None

###","Making the payment You ’ ll need to give a 17 - character payment reference .

###

"
" People: Person
who: None
you: None
tell: None
can: None
object: None
to: None
the: None
registration: Form
.: None

###","People who you tell can object to the registration .

###

"
" If: None
you: None
do: None
not: None
leave: None
the: None
owner: Person
can: None
ask: None
the: None
court: Organization
for: None
an: None
‘: None
eviction: None
order: None
’: None
which: None
forces: None
you: None
to: None
leave: None
.: None

###","If you do not leave the owner can ask the court for an ‘ eviction order ’ which forces you to leave .

###

"
" They: None
may: None
be: None
able: None
to: None
get: None
their: None
visa: Form
faster: None
or: None
other: None
services: None
depending: None
on: None
what: None
country: Location
they: None
’: None
re: None
in: None
-: None
check: None
with: None
the: None
visa: Location
application: Location
centre: Location
.: None

###","They may be able to get their visa faster or other services depending on what country they ’ re in - check with the visa application centre .

###

"
" HMRC: Organization
will: None
tell: None
you: None
what: None
to: None
do: None
next: None
.: None

###","HMRC will tell you what to do next .

###

"
" Your: None
Child: Finance
Benefit: Finance
payment: Finance
is: None
usually: None
paid: None
early: None
if: None
it: None
’: None
s: None
due: None
on: None
a: None
bank: Date
holiday: Date
.: None

###","Your Child Benefit payment is usually paid early if it ’ s due on a bank holiday .

###

"
" If: None
you: None
get: None
a: None
county: Event
court: Event
judgment: Event
(: Event
CCJ: Event
): Event
or: None
a: None
high: Event
court: Event
judgment: Event
it: None
will: None
stay: None
on: None
the: None
Register: Form
of: Form
Judgments: Form
Orders: Form
and: Form
Fines: Form
for: None
6: Date
years: Date
.: None

###","If you get a county court judgment ( CCJ ) or a high court judgment it will stay on the Register of Judgments Orders and Fines for 6 years .

###

"
" Register: None
as: None
a: None
sole: None
trader: Person
If: None
you: None
’: None
re: None
a: None
sole: None
trader: Person
and: None
you: None
already: None
have: None
a: None
UTR: Finance
you: None
can: None
register: None
for: None
CIS: Organization
online: None
.: None

###","Register as a sole trader If you ’ re a sole trader and you already have a UTR you can register for CIS online .

###

"
" Your: None
rules: None
must: None
say: None
what: None
is: None
acceptable: None
and: None
unacceptable: None
behaviour: None
in: None
the: None
workplace: Location
and: None
what: None
action: None
you: None
will: None
take: None
if: None
the: None
rules: None
are: None
broken: None
.: None

###","Your rules must say what is acceptable and unacceptable behaviour in the workplace and what action you will take if the rules are broken .

###

"
" If: None
you: None
do: None
you: None
’: None
ll: None
no: None
longer: None
have: None
to: None
pay: None
National: Finance
Insurance: Finance
.: None

###","If you do you ’ ll no longer have to pay National Insurance .

###

"
" You: None
need: None
to: None
give: None
this: None
to: None
the: None
work: Person
-: Person
seeker: Person
before: None
providing: None
these: None
services: None
.: None

###","You need to give this to the work - seeker before providing these services .

###

"
" There: None
’: None
s: None
a: None
separate: None
deadline: None
to: None
pay: None
your: None
Corporation: Form
Tax: Form
bill: Form
.: None

###","There ’ s a separate deadline to pay your Corporation Tax bill .

###

"
" Contact: None
your: None
chosen: None
charity: Organization
first: None
to: None
make: None
sure: None
it: None
can: None
accept: None
your: None
gift: None
.: None

###","Contact your chosen charity first to make sure it can accept your gift .

###

"
" You: None
’: None
ll: None
need: None
35: State
qualifying: State
years: State
to: None
get: None
the: None
full: Finance
new: Finance
State: Finance
Pension: Finance
.: None

###","You ’ ll need 35 qualifying years to get the full new State Pension .

###

"
" However: None
you: None
can: None
only: None
write: None
off: None
these: None
debts: Finance
if: None
you: None
’: None
re: None
sure: None
they: None
will: None
not: None
be: None
recovered: None
from: None
your: None
customer: Person
in: None
the: Date
future: Date
.: None

###","However you can only write off these debts if you ’ re sure they will not be recovered from your customer in the future .

###

"
" Example: None
A: None
company: Organization
has: None
100: None
shares: Finance
and: None
3: None
shareholders: Person
.: None

###","Example A company has 100 shares and 3 shareholders .

###

"
" This: None
could: None
be: None
a: None
housing: Organization
association: Organization
the: None
council: Organization
or: None
a: None
private: None
landlord: Person
.: None

###","This could be a housing association the council or a private landlord .

###

"
" You: None
may: None
also: None
need: None
to: None
pay: None
tax: Finance
and: None
National: Finance
Insurance: Finance
on: None
them: None
.: None

###","You may also need to pay tax and National Insurance on them .

###

"
" The: None
database: None
includes: None
both: None
worldwide: None
UK: Location
patents: Misc
and: None
details: None
about: None
:: None
owners: Person
filed: None
documents: None
countries: Location
where: None
the: None
patent: Misc
applies: None

###","The database includes both worldwide UK patents and details about : owners filed documents countries where the patent applies

###

"
" You: None
can: None
serve: None
the: None
petition: Form
by: None
attaching: None
it: None
to: None
the: None
company: Organization
’: None
s: None
front: Location
door: Location
or: None
leaving: None
it: None
at: None
the: None
office: Location
if: None
you: None
cannot: None
serve: None
it: None
in: None
person: None
.: None

###","You can serve the petition by attaching it to the company ’ s front door or leaving it at the office if you cannot serve it in person .

###

"
" You: None
must: None
register: Event
by: None
5: Date
October: Date
after: None
the: None
tax: Date
year: Date
you: None
’: None
re: None
sending: None
a: None
return: Form
for: None
.: None

###","You must register by 5 October after the tax year you ’ re sending a return for .

###

"
" There: None
’: None
s: None
a: None
£1: None
fee: Finance
-: Finance
payment: Finance
instructions: None
are: None
on: None
the: None
form: None
.: None

###","There ’ s a £1 fee - payment instructions are on the form .

###

"
" Give: None
the: None
form: Form
to: None
the: None
applicant: Person
to: None
fill: None
in: None
.: None

###","Give the form to the applicant to fill in .

###

"
" You: None
need: None
to: None
register: None
for: None
Self: None
Assessment: None
before: None
5: Date
October: Date
2019: Date
.: None

###","You need to register for Self Assessment before 5 October 2019 .

###

"
" Workers: Person
should: None
contact: None
the: None
Sustainable: Organization
Land: Organization
Management: Organization
Branch: Organization
if: None
they: None
’: None
re: None
concerned: None
they: None
’: None
re: None
not: None
working: None
under: None
the: None
correct: None
terms: None
and: None
conditions: None
.: None

###","Workers should contact the Sustainable Land Management Branch if they ’ re concerned they ’ re not working under the correct terms and conditions .

###

"
" Work: None
out: None
how: None
many: None
hours: None
you: None
did: None
over: None
the: None
12: None
-: None
week: None
period: None
(: None
42: None
x: Person
9: None
-: None
hour: None
shifts: Event
=: None
378: None
hours: None
): None
.: None

###","Work out how many hours you did over the 12 - week period ( 42 x 9 - hour shifts = 378 hours ) .

###

"
